date,open,high,low,close,
2020/03/20,127.044,132.029,126.396,128.693,
2020/03/19,125.092,129.568,124.748,127.041,
2020/03/18,129.710,130.327,124.034,125.681,
2020/03/17,129.889,131.219,128.596,129.706,
2020/03/16,131.535,133.056,128.901,129.975,
2020/03/13,131.711,134.307,131.225,133.730,
2020/03/12,133.749,134.297,131.319,131.476,
2020/03/11,136.042,136.551,133.798,133.977,
2020/03/10,133.914,137.208,133.654,136.475,
2020/03/09,136.250,136.812,132.559,134.174,
2020/03/06,137.365,137.737,136.436,137.468,
2020/03/05,138.321,138.681,137.373,137.498,
2020/03/04,137.110,138.417,137.038,138.402,
2020/03/03,137.999,138.576,136.934,137.259,
2020/03/02,137.219,139.182,137.154,138.151,
2020/02/28,141.116,141.410,137.529,138.265,
2020/02/27,142.298,142.548,141.162,141.170,
2020/02/26,143.101,143.723,142.236,142.420,
2020/02/25,143.036,143.642,142.914,143.302,
2020/02/24,144.071,144.623,142.630,143.213,
2020/02/21,144.319,144.957,143.722,144.631,
2020/02/20,143.844,144.604,143.602,144.405,
2020/02/19,142.746,144.159,142.741,143.876,
2020/02/18,142.874,143.230,142.315,142.781,
2020/02/17,143.129,143.369,142.844,142.896,
2020/02/14,143.170,143.404,142.762,143.239,
2020/02/13,142.605,143.476,142.145,143.245,
2020/02/12,142.098,142.886,142.066,142.681,
2020/02/11,141.700,142.456,141.618,142.204,
2020/02/10,141.330,142.091,141.233,141.757,
2020/02/07,142.086,142.372,141.398,141.426,
2020/02/06,142.732,142.819,142.088,142.246,
2020/02/05,142.702,143.372,142.225,142.809,
2020/02/04,141.152,142.834,140.924,142.725,
2020/02/03,142.815,143.105,141.065,141.248,
2020/01/31,142.499,143.285,142.410,143.071,
2020/01/30,141.663,142.703,141.258,142.612,
2020/01/29,142.147,142.342,141.709,141.936,
2020/01/28,142.083,142.454,141.480,142.183,
2020/01/27,142.425,142.745,142.058,142.185,
2020/01/24,143.588,144.397,142.712,142.889,
2020/01/23,144.304,144.395,143.207,143.711,
2020/01/22,143.237,144.607,143.228,144.336,
2020/01/21,143.280,143.973,142.863,143.349,
2020/01/20,142.975,143.364,142.801,143.341,
2020/01/17,143.933,144.525,143.298,143.343,
2020/01/16,143.238,144.136,143.185,144.065,
2020/01/15,143.142,143.389,142.650,143.285,
2020/01/14,142.699,143.427,142.448,143.208,
2020/01/13,142.710,142.968,142.352,142.783,
2020/01/10,143.078,143.488,142.887,142.955,
2020/01/09,142.823,143.455,142.423,143.132,
2020/01/08,142.264,143.101,141.123,142.899,
2020/01/07,142.616,143.290,141.988,142.274,
2020/01/06,141.052,142.786,140.775,142.717,
2020/01/03,142.595,142.780,140.998,141.317,
2020/01/02,143.995,144.189,142.267,142.618,
2019/12/31,142.671,144.363,142.429,144.105,
2019/12/30,143.170,143.431,142.587,142.759,
2019/12/27,142.397,143.646,142.041,143.120,
2019/12/26,141.475,142.726,141.475,142.469,
2019/12/25,141.308,141.728,141.260,141.491,
2019/12/24,141.371,141.860,141.165,141.452,
2019/12/23,142.193,142.534,141.163,141.468,
2019/12/20,142.216,143.049,142.120,142.361,
2019/12/19,143.211,143.864,141.977,142.262,
2019/12/18,143.619,143.863,143.068,143.278,
2019/12/17,146.036,146.055,143.477,143.772,
2019/12/16,145.685,146.807,145.685,146.113,
2019/12/13,146.987,147.955,145.454,145.882,
2019/12/12,143.162,144.146,142.478,144.016,
2019/12/11,142.714,143.372,142.540,143.242,
2019/12/10,142.617,143.663,142.551,142.992,
2019/12/09,142.629,143.106,142.562,142.623,
2019/12/06,143.017,143.148,142.370,142.648,
2019/12/05,142.597,143.247,142.584,143.115,
2019/12/04,141.090,142.784,140.831,142.648,
2019/12/03,140.919,141.711,140.910,141.126,
2019/12/02,141.330,141.816,140.940,141.032,
2019/11/29,141.350,141.683,141.107,141.559,
2019/11/28,141.490,141.847,141.246,141.424,
2019/11/27,140.150,141.524,140.049,141.444,
2019/11/26,140.440,140.889,139.985,140.329,
2019/11/25,139.584,140.625,139.456,140.506,
2019/11/22,140.145,140.485,139.323,139.441,
2019/11/21,140.249,140.916,139.974,140.168,
2019/11/20,140.229,140.484,139.677,140.360,
2019/11/19,140.652,140.932,140.102,140.295,
2019/11/18,140.519,141.574,140.359,140.763,
2019/11/15,139.591,140.459,139.576,140.415,
2019/11/14,139.735,139.862,139.399,139.649,
2019/11/13,140.021,140.248,139.440,139.842,
2019/11/12,140.067,140.586,139.943,140.030,
2019/11/11,139.668,140.485,139.365,140.200,
2019/11/08,140.090,140.210,139.414,139.601,
2019/11/07,139.992,140.530,139.486,140.031,
2019/11/06,140.628,140.650,139.864,140.048,
2019/11/05,139.834,140.742,139.779,140.673,
2019/11/04,139.886,140.236,139.839,139.865,
2019/11/01,139.728,140.151,139.580,139.988,
2019/10/31,140.298,140.684,139.601,139.805,
2019/10/30,139.930,140.501,139.864,140.401,
2019/10/29,140.053,140.533,139.466,140.076,
2019/10/28,139.362,140.252,139.208,140.085,
2019/10/25,139.469,139.797,139.025,139.392,
2019/10/24,140.242,140.738,138.870,139.612,
2019/10/23,139.579,140.420,139.083,140.333,
2019/10/22,140.685,141.109,139.511,139.609,
2019/10/21,140.348,141.359,139.471,140.733,
2019/10/18,140.011,140.629,139.344,140.313,
2019/10/17,139.448,141.483,138.626,140.069,
2019/10/16,139.004,140.098,137.580,139.532,
2019/10/15,136.623,139.314,136.441,139.143,
2019/10/14,136.810,137.168,135.498,136.654,
2019/10/11,134.243,137.878,134.008,137.221,
2019/10/10,131.106,134.564,130.728,134.274,
2019/10/09,130.745,131.816,130.651,131.166,
2019/10/08,131.750,132.114,130.428,130.849,
2019/10/07,131.169,132.242,131.166,131.806,
2019/10/04,131.726,131.992,131.279,131.816,
2019/10/03,131.784,132.545,131.483,131.753,
2019/10/02,132.577,132.588,131.575,131.819,
2019/10/01,132.701,133.357,131.781,132.578,
2019/09/30,132.618,133.332,132.472,132.888,
2019/09/27,132.801,133.280,132.321,132.713,
2019/09/26,133.018,133.287,132.381,132.896,
2019/09/25,133.667,134.007,132.840,133.063,
2019/09/24,133.597,134.580,133.537,133.789,
2019/09/23,134.258,134.546,133.347,133.710,
